1	1	lunes	08:00:00	12:00:00	activo	2026-06-06 19:48:42.826682	\N
3	1	martes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
4	1	miercoles	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
5	1	jueves	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
6	1	viernes	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
7	2	lunes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
8	2	martes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
9	2	miercoles	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
10	2	jueves	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
11	2	viernes	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
12	3	lunes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
13	3	martes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
14	3	miercoles	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
15	3	jueves	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
16	3	viernes	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
17	4	lunes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
18	4	martes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
19	4	miercoles	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
20	4	jueves	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
21	4	viernes	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
22	5	lunes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
23	5	martes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
24	5	miercoles	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
25	5	jueves	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
26	5	viernes	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
27	6	lunes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
28	6	martes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
29	6	miercoles	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
30	6	jueves	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
31	6	viernes	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
32	7	lunes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
33	7	martes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
34	7	miercoles	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
35	7	jueves	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
36	7	viernes	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
37	8	lunes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
38	8	martes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
39	8	miercoles	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
40	8	jueves	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
41	8	viernes	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
42	9	lunes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
43	9	martes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
44	9	miercoles	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
45	9	jueves	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
46	9	viernes	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
47	10	lunes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
48	10	martes	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
49	10	miercoles	08:00:00	12:00:00	activo	2026-06-07 02:39:52.786434	\N
50	10	jueves	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
51	10	viernes	14:00:00	18:00:00	activo	2026-06-07 02:39:52.786434	\N
\.


